Verb,Tense,Subject,cntx_cat
আঁক,Root,2nd_i,cntx_prt
আঁকা,Base,pos_f,cntx_alt
আঁকাই,Present,1st,cntx_prt
আঁকাইও,Present,2nd_f,cntx_prt
আঁকাইত,Past,3rd_f,cntx_pst
আঁকাইতাম,Past,1st,cntx_pst
আঁকাইতিস,Past,2nd_i,cntx_pst
আঁকাইতে,Past,2nd_f,cntx_pst
আঁকাইতেছ,Present,2nd_f,cntx_prt
আঁকাইতেছি,Present,1st,cntx_prt
আঁকাইতেছিল,Past,3rd_f,cntx_pst
আঁকাইতেছিলাম,Past,1st,cntx_pst
আঁকাইতেছিলি,Past,2nd_i,cntx_pst
আঁকাইতেছিলে,Past,2nd_f,cntx_pst
আঁকাইতেছিলেন,Past,pol_f,cntx_pst
আঁকাইতেছিস,Present,2nd_i,cntx_prt
আঁকাইতেছে,Present,3rd_f,cntx_prt
আঁকাইতেছেন,Present,pol_f,cntx_prt
আঁকাইতেন,Past,pol_f,cntx_pst
আঁকাইব,Future,1st,cntx_fut
আঁকাইবার,Present,404_f,cntx_404
আঁকাইবি,Future,2nd_i,cntx_fut
আঁকাইবে,Future,2nd_f,cntx_fut
আঁকাইবেন,Future,pol_f,cntx_fut
আঁকাইয়া,Participle,404_f,cntx_404
আঁকাইয়াছ,Present,2nd_f,cntx_prt
আঁকাইয়াছি,Present,1st,cntx_prt
আঁকাইয়াছিল,Past,3rd_f,cntx_pst
আঁকাইয়াছিলাম,Past,1st,cntx_pst
আঁকাইয়াছিলি,Past,2nd_i,cntx_pst
আঁকাইয়াছিলে,Past,2nd_f,cntx_pst
আঁকাইয়াছিলেন,Past,pol_f,cntx_pst
আঁকাইয়াছিস,Present,2nd_i,cntx_prt
আঁকাইয়াছে,Present,3rd_f,cntx_prt
আঁকাইয়াছেন,Present,pol_f,cntx_prt
আঁকাইয়ো,Present,2nd_f,cntx_prt
আঁকাইল,Past,3rd_f,cntx_pst
আঁকাইলাম,Past,1st,cntx_pst
আঁকাইলি,Past,2nd_i,cntx_pst
আঁকাইলে,Past,2nd_f,cntx_pst
আঁকাইলেন,Past,pol_f,cntx_pst
আঁকাও,Present,2nd_f,cntx_prt
আঁকাক,Present,3rd_f,cntx_prt
আঁকাচ্ছ,Present,2nd_f,cntx_prt
আঁকাচ্ছি,Present,1st,cntx_prt
আঁকাচ্ছিল,Past,3rd_f,cntx_pst
আঁকাচ্ছিলাম,Past,1st,cntx_pst
আঁকাচ্ছিলি,Past,2nd_i,cntx_pst
আঁকাচ্ছিলুম,Past,1st,cntx_pst
আঁকাচ্ছিলে,Past,2nd_f,cntx_pst
আঁকাচ্ছিলেন,Past,pol_f,cntx_pst
আঁকাচ্ছিলেম,Past,1st,cntx_pst
আঁকাচ্ছিস,Present,2nd_i,cntx_prt
আঁকাচ্ছে,Present,3rd_f,cntx_prt
আঁকাচ্ছেন,Present,pol_f,cntx_prt
আঁকাত,Past,3rd_f,cntx_pst
আঁকাতাম,Past,1st,cntx_pst
আঁকাতিস,Past,2nd_i,cntx_pst
আঁকাতুম,Past,1st,cntx_pst
আঁকাতে,Past,2nd_f,cntx_pst
আঁকাতেন,Past,pol_f,cntx_pst
আঁকাতেম,Past,1st,cntx_pst
আঁকান,Present,pol_f,cntx_prt
আঁকানো,Present,obj_f,cntx_alt
আঁকাব,Future,1st,cntx_fut
আঁকাবার,Present,404_f,cntx_404
আঁকাবি,Future,2nd_i,cntx_fut
আঁকাবে,Future,2nd_f,cntx_fut
আঁকাবেন,Future,pol_f,cntx_fut
আঁকাবো,Future,1st,cntx_fut
আঁকায়,Present,3rd_f,cntx_prt
আঁকার,Present,404_f,cntx_404
আঁকাল,Past,3rd_f,cntx_pst
আঁকালাম,Past,1st,cntx_pst
