Verb,Tense
আঁক,Root
আঁকা,Base
আঁকাই,Present
আঁকাইও,Present
আঁকাইত,Past
আঁকাইতাম,Past
আঁকাইতিস,Past
আঁকাইতে,Past
আঁকাইতেছ,Present
আঁকাইতেছি,Present
আঁকাইতেছিল,Past
আঁকাইতেছিলাম,Past
আঁকাইতেছিলি,Past
আঁকাইতেছিলে,Past
আঁকাইতেছিলেন,Past
আঁকাইতেছিস,Present
আঁকাইতেছে,Present
আঁকাইতেছেন,Present
আঁকাইতেন,Past
আঁকাইব,Future
আঁকাইবার,Present
আঁকাইবি,Future
আঁকাইবে,Future
আঁকাইবেন,Future
আঁকাইয়া,Participle
আঁকাইয়াছ,Present
আঁকাইয়াছি,Present
আঁকাইয়াছিল,Past
আঁকাইয়াছিলাম,Past
আঁকাইয়াছিলি,Past
আঁকাইয়াছিলে,Past
আঁকাইয়াছিলেন,Past
আঁকাইয়াছিস,Present
আঁকাইয়াছে,Present
আঁকাইয়াছেন,Present
আঁকাইয়ো,Present
আঁকাইল,Past
আঁকাইলাম,Past
আঁকাইলি,Past
আঁকাইলে,Past
আঁকাইলেন,Past
আঁকাও,Present
আঁকাক,Present
আঁকাচ্ছ,Present
আঁকাচ্ছি,Present
আঁকাচ্ছিল,Past
আঁকাচ্ছিলাম,Past
আঁকাচ্ছিলি,Past
আঁকাচ্ছিলুম,Past
আঁকাচ্ছিলে,Past
আঁকাচ্ছিলেন,Past
আঁকাচ্ছিলেম,Past
আঁকাচ্ছিস,Present
আঁকাচ্ছে,Present
আঁকাচ্ছেন,Present
আঁকাত,Past
আঁকাতাম,Past
আঁকাতিস,Past
আঁকাতুম,Past
আঁকাতে,Past
আঁকাতেন,Past
আঁকাতেম,Past
আঁকান,Present
আঁকানো,Present
আঁকাব,Future
আঁকাবার,Present
আঁকাবি,Future
আঁকাবে,Future
আঁকাবেন,Future
আঁকাবো,Future
আঁকায়,Present
আঁকার,Present
আঁকাল,Past
আঁকালাম,Past
আঁকালি,Past
আঁকালুম,Past
আঁকালে,Past
আঁকালেন,Past
আঁকালেম,Past
আঁকাস,Present
আঁকি,Present
আঁকিও,Present
আঁকিত,Past
আঁকিতাম,Past
আঁকিতিস,Past
আঁকিতে,Past
আঁকিতেছ,Present
আঁকিতেছি,Present
আঁকিতেছিল,Past
আঁকিতেছিলাম,Past
আঁকিতেছিলি,Past
আঁকিতেছিলে,Past
আঁকিতেছিলেন,Past
আঁকিতেছিস,Present
আঁকিতেছে,Present
আঁকিতেছেন,Present
আঁকিতেন,Past
আঁকিব,Future
আঁকিবার,Present
আঁকিবি,Future
আঁকিবে,Future
আঁকিবেন,Future
আঁকিয়া,Participle
আঁকিয়াছ,Present
আঁকিয়াছি,Present
আঁকিয়াছিল,Past
